provider,service,region,pricing_model,currency,product_family,instance_type,operating_system,tenancy,term_length_years,vcpu_count,memory_gb,storage_type,domain_label,price_unit,effective_price_per_hour,is_all_upfront,is_partial_upfront,is_no_upfront,effective_date
aws,AmazonEC2,eu-south-2,,US Dollar,Storage optimized,i3.2xlarge,Windows,Shared,,8,61.00,,iaas,,0.688000,False,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,us-west-1,,US Dollar,GPU instance,g3s.xlarge,Red Hat Enterprise Linux with HA,Dedicated,,4,30.50,,iaas,,1.176000,False,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,eu-west-2,,US Dollar,Memory optimized,u7i-8tb.112xlarge,RHEL,Dedicated,,448,8192.00,,iaas,,156.398580,False,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,eu-west-2,,US Dollar,Storage optimized,i7ie.3xlarge,Linux,Dedicated,,12,96.00,,iaas,,2.135700,False,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,eu-west-2,,US Dollar,Storage optimized,i7i.2xlarge,Linux,Host,,8,64.00,,iaas,,0.253100,False,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,eu-west-2,,US Dollar,General purpose,m7i.2xlarge,Linux,Shared,,8,32.00,,iaas,,1.426200,False,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ca-central-1,,US Dollar,Memory optimized,r5.large,Linux,Dedicated,1.00,2,16.00,,iaas,,0.079000,False,True,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ca-central-1,,US Dollar,Memory optimized,r5.large,Linux,Dedicated,3.00,2,16.00,,iaas,,0.071222,False,True,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ca-central-1,,US Dollar,Memory optimized,r5.large,Linux,Dedicated,1.00,2,16.00,,iaas,,0.163000,False,False,True,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ca-central-1,,US Dollar,Memory optimized,r5.large,Linux,Dedicated,1.00,2,16.00,,iaas,,0.086000,False,True,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ca-central-1,,US Dollar,Memory optimized,r5.large,Linux,Dedicated,3.00,2,16.00,,iaas,,0.141113,True,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ca-central-1,,US Dollar,Memory optimized,r5.large,Linux,Dedicated,1.00,2,16.00,,iaas,,0.169062,True,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ca-central-1,,US Dollar,Memory optimized,r5.large,Linux,Dedicated,3.00,2,16.00,,iaas,,0.065480,False,True,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ca-central-1,,US Dollar,Memory optimized,r5.large,Linux,Dedicated,3.00,2,16.00,,iaas,,0.148000,False,False,True,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ca-central-1,,US Dollar,Memory optimized,r5.large,Linux,Dedicated,3.00,2,16.00,,iaas,,0.071000,False,True,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ca-central-1,,US Dollar,Memory optimized,r5.large,Linux,Dedicated,1.00,2,16.00,,iaas,,0.079284,False,True,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ca-central-1,,US Dollar,Memory optimized,r5.large,Linux,Dedicated,1.00,2,16.00,,iaas,,0.156970,True,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ca-central-1,,US Dollar,Memory optimized,r5.large,Linux,Dedicated,3.00,2,16.00,,iaas,,0.066000,False,True,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ca-central-1,,US Dollar,Memory optimized,r5.large,Linux,Dedicated,,2,16.00,,iaas,,0.214000,False,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ca-central-1,,US Dollar,Memory optimized,r5.large,Linux,Dedicated,3.00,2,16.00,,iaas,,0.127690,True,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ca-central-1,,US Dollar,Memory optimized,r5.large,Linux,Dedicated,1.00,2,16.00,,iaas,,0.176000,False,False,True,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ca-central-1,,US Dollar,Memory optimized,r5.large,Linux,Dedicated,3.00,2,16.00,,iaas,,0.135000,False,False,True,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ca-central-1,,US Dollar,Memory optimized,r5.large,Linux,Dedicated,1.00,2,16.00,,iaas,,0.085444,False,True,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,eu-west-2,,US Dollar,Compute optimized,c4.8xlarge,Red Hat Enterprise Linux with HA,Dedicated,,36,60.00,,iaas,,2.797000,False,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,eu-west-2,,US Dollar,Compute optimized,c5d.4xlarge,Windows,Shared,,16,32.00,,iaas,,1.926000,False,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,eu-west-2,,US Dollar,Compute optimized,c8gd.metal-48xl,Ubuntu Pro,Dedicated,,192,384.00,,iaas,,11.602560,False,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,eu-south-2,,US Dollar,Memory optimized,r7a.32xlarge,Windows,Shared,,128,1024.00,,iaas,,8.000600,False,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,eu-south-2,,US Dollar,Memory optimized,r7a.32xlarge,Windows,Shared,,128,1024.00,,iaas,,10.896640,False,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,us-west-2,,US Dollar,General purpose,m6i.xlarge,Windows,Dedicated,,4,16.00,,iaas,,0.462800,False,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,us-gov-west-1,,US Dollar,Compute optimized,c5d.xlarge,Red Hat Enterprise Linux with HA,Dedicated,,4,8.00,,iaas,,0.854000,False,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,us-west-1,,US Dollar,General purpose,m6idn.32xlarge,Ubuntu Pro,Dedicated,,128,512.00,,iaas,,11.964160,False,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,us-west-1,,US Dollar,General purpose,m7gd.medium,Ubuntu Pro,Dedicated,,1,4.00,,iaas,,0.068400,False,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ap-southeast-4,,US Dollar,Memory optimized,r5.xlarge,Windows,Dedicated,1.00,4,32.00,,iaas,,0.192000,False,True,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ap-southeast-4,,US Dollar,Memory optimized,r5.xlarge,Windows,Dedicated,3.00,4,32.00,,iaas,,0.173892,False,True,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ap-southeast-4,,US Dollar,Memory optimized,r5.xlarge,Windows,Dedicated,1.00,4,32.00,,iaas,,0.392000,False,False,True,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ap-southeast-4,,US Dollar,Memory optimized,r5.xlarge,Windows,Dedicated,1.00,4,32.00,,iaas,,0.205000,False,True,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ap-southeast-4,,US Dollar,Memory optimized,r5.xlarge,Windows,Dedicated,3.00,4,32.00,,iaas,,0.344817,True,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ap-southeast-4,,US Dollar,Memory optimized,r5.xlarge,Windows,Dedicated,1.00,4,32.00,,iaas,,0.406000,True,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ap-southeast-4,,US Dollar,Memory optimized,r5.xlarge,Windows,Dedicated,3.00,4,32.00,,iaas,,0.161343,False,True,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ap-southeast-4,,US Dollar,Memory optimized,r5.xlarge,Windows,Dedicated,,4,32.00,,iaas,,0.234900,False,False,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ap-southeast-4,,US Dollar,Memory optimized,r5.xlarge,Windows,Dedicated,3.00,4,32.00,,iaas,,0.360000,False,False,True,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ap-southeast-4,,US Dollar,Memory optimized,r5.xlarge,Windows,Dedicated,3.00,4,32.00,,iaas,,0.174000,False,True,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ap-southeast-4,,US Dollar,Memory optimized,r5.xlarge,Windows,Dedicated,1.00,4,32.00,,iaas,,0.191535,False,True,False,2025-12-18 14:30:45.661528+00:00
aws,AmazonEC2,ap-southeast-4,,US Dollar,Memory optimized,r5.xlarge,Windows,Dedicated,1.00,4,32.00,,iaas,,0.379420,True,False,False,2025-12-18 14:30:45.661528+00:00
